isin,start_date,end_date
FR0000130395,2011q3,2018q4
FR0000130452,2004q2,2018q4
FR0000130460,2001q1,2004q2
FR0000130577,2001q1,2018q4
FR0000130650,2001q1,2018q4
FR0000131708,2002q1,2016q4
FR0000131757,2007q4,2012q1
FR0000131906,2001q1,2018q4
FR0000132904,2001q1,2003q3
FR0000133308,2001q1,2018q4
FR0000184798,2014q2,2018q4
FR0004035913,2008q3,2018q4
FR0004548873,2006q1,2012q3
FR0005512555,2003q1,2006q1
FR0006174348,2008q2,2018q4
FR0006807004,2006q1,2006q4
FR0010220475,2001q1,2018q4
FR0010221234,2007q1,2018q4
FR0010259150,2016q2,2018q4
FR0010307819,2007q1,2018q4
FR0010313833,2007q1,2018q4
FR0010340141,2007q1,2018q4
FR0010451203,2011q2,2018q4
FR0010478248,2001q1,2002q2
FR0010533075,2008q4,2018q4
FR0010613471,2009q1,2018q4
FR0010908533,2011q1,2018q4
FR0010918292,2005q3,2016q4
FR0011594233,2015q1,2017q3
FR0012435121,2017q4,2018q4
FR0012757854,2017q3,2018q4
FR0013176526,2001q1,2018q4
FR0013181864,2007q1,2014q2
FR0013269123,2012q4,2018q4
FR0013280286,2008q4,2018q4
GB0034341890,2005q1,2006q2
GB00B03MLX29,2001q1,2005q2
GRS260333000,2001q1,2016q2
GRS314003005,2008q1,2010q2
GRS408333003,2003q3,2007q3
IE0000669501,2013q2,2018q4
IE0001521057,2002q1,2002q2
IE0001827041,2001q1,2018q4
IE0002424939,2002q4,2013q1
IE0003072950,2001q1,2013q3
IE0004906560,2001q1,2018q4
IE0004927939,2005q2,2018q4
IE0031943644,2001q1,2002q2
IE00B00MZ448,2003q3,2008q2
IE00B010DT83,2005q3,2015q1
IE00B1RR8406,2012q4,2018q4
IE00B59HWB19,2001q1,2007q3
IT0000088457,2001q1,2003q2
IT0001052049,2001q1,2005q1
IT0001063210,2001q1,2017q2
IT0001127429,2001q1,2003q2
IT0001347308,2009q1,2009q4
IT0001353173,2006q3,2008q4
IT0001423562,2001q1,2007q2
IT0001465159,2003q1,2016q3
IT0001469383,2001q1,2005q3
IT0003132476,2001q1,2018q4
IT0003497168,2001q1,2018q4
IT0003506190,2001q1,2018q4
IT0003826473,2006q1,2011q2
IT0003828271,2015q3,2018q4
IT0004176001,2008q2,2018q4
IT0004513666,2001q1,2004q2
IT0004931496,2001q4,2005q3
IT0005022170,2001q1,2003q2
IT0005252140,2001q1,2018q4
IT0005252207,2010q3,2018q4
IT0005278236,2018q1,2018q4
LU0061462528,2001q1,2018q4
LU0088087324,2005q1,2018q4
LU0156801721,2005q4,2018q4
LU1598757687,2006q2,2018q4
NL0000009082,2001q1,2018q4
NL0000009165,2001q1,2018q4
NL0000009538,2012q2,2018q4
NL0000009827,2002q1,2018q4
NL0000200889,2003q1,2004q2
NL0000235190,2003q1,2018q4
NL0000334118,2001q3,2018q4
NL0000337319,2006q3,2010q1
NL0000352524,2001q1,2002q3
NL0000352565,2006q1,2014q3
NL0000354934,2001q1,2006q3
NL0000355477,2001q1,2007q4
NL0000358562,2009q1,2010q4
NL0000360618,2001q1,2018q4
NL0000375616,2001q1,2007q3
NL0000379121,2001q4,2018q4
NL0000389872,2001q1,2006q1
NL0000390672,2005q3,2006q4
NL0000395903,2001q1,2018q4
NL0000400653,2008q2,2018q4
NL0000852564,2011q1,2018q4
NL0000852580,2007q4,2018q4
NL0000852861,2004q1,2007q3
NL0000853091,2001q1,2006q2
NL0006005662,2002q1,2008q1
NL0006144495,2001q1,2018q2
NL0009432491,2008q2,2018q4
NL0009739416,2002q4,2017q3
NL0009739424,2013q1,2016q1
NL0010273215,2001q1,2018q4
NL0010395208,2001q1,2014q4
NL0010558797,2014q1,2016q3
NL0010583399,2001q1,2012q1
NL0010801007,2016q3,2018q4
NL0010886891,2008q2,2013q1
NL0011333752,2015q1,2018q2
NL0011821392,2017q2,2018q4
NL0012059018,2011q1,2018q4
NL0012169213,2001q1,2018q4
NL0013267909,2001q1,2018q4
PTCPR0AM0003,2001q1,2010q4
PTGAL0AM0009,2007q3,2018q4
PTPTC0AM0009,2001q1,2014q2
PTZON0AM0006,2007q4,2009q4
